,confidence,feedback,corrcted feedback,intent,response,utterance,
112,0.94,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My pc does not work,
113,0.67,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My computer has blue screen,
114,0.86,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Nothing is working,
115,0.6,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Everything is blue on the monitor,
118,0.93,0,,greet,"I was getting bored, but now you are here.",How are you feeling today?,
119,0.79,0,,goodbye,Bye bye! Thanks for the chat!,I am glad that you are happy to hear that,
120,0.44,0,,goodbye,Bye bye! Thanks for the chat!,Seeya later alligator,
121,0.46,0,,goodbye,Bye bye! Thanks for the chat!,Ciao,
123,0.35,1,,goodbye,Bye bye! Thanks for the chat!,I am feeling suicidal,
135,0.7,0,,goodbye,Bye bye! Thanks for the chat!,Bye Julie,
147,0.96,0,,goodbye,Bye bye! Thanks for the chat!,"I have to go, have a good day ",
163,0.31,1,,Feedback,I am sorry to hear that,NO : 2:30pm it reopens,
168,0.47,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My computer does not completely open ,
174,1,0,,Feedback,I am happy to hear that,YES,
177,0.37,1,,complete,"Thank you for using our service.",Yay it works ,
181,0.61,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",This laptop does not work ,
186,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye ! ,
189,0.57,0,,complete,"Thank you for using our service.",It is working ,
192,0.54,0,,goodbye,Bye bye! Thanks for the chat!,Bye ! Thank you ,
202,0.69,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My computer did not work,
203,0.8,0,,greet,"Hi, I am good. What about you?",How are you?,
208,0.83,0,,goodbye,Bye bye! Thanks for the chat!,I have to go ,
209,0.9,0,,goodbye,Bye bye! Thanks for the chat!,bye,
214,1,0,,Feedback,I am sorry to hear that,NO,
216,0.8,0,,greet,"Hi, I am good. What about you?","Hello, how are you? ",
217,0.46,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",This monitor is not opening up ,
219,0.45,1,,complete,"Thank you for using our service.","Thank you for your help",
221,0.9,0,,goodbye,Bye bye! Thanks for the chat!,*Bye,
222,0.58,0,,help,"I can help you with computer troubleshooting related questions.",What are you doing? ,
239,0.98,0,,goodbye,Bye bye! Thanks for the chat!,"I have to go,have a nice day ! ",
245,0.91,0,,greet,"Hi, I am good. What about you?",Hey what's up ? ,
258,0.43,1,,greet,"Hi, I am good. What about you?",How invoicing works with GS? ,
261,0.39,0,,help,"I can help you with computer troubleshooting related questions.",What is Hertz? ,
265,0.65,0,,goodbye,Bye bye! Thanks for the chat!,I am coming back in 5 minutes,
268,0.8,0,,greet,"Hi, I am good. What about you?",how are you,
280,0.65,0,,help,"I can help you with computer troubleshooting related questions.",Can you tell more about your Services? What it is? ,
282,0.76,1,,help,"I can help you with computer troubleshooting related questions.",What kind of IT services can you help with? ,
290,0.83,0,,goodbye,Bye bye! Thanks for the chat!,I am going home ! ,
292,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye ! ,
297,0.69,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",How to make this computer work? ,
306,1,0,,goodbye,Bye bye! Thanks for the chat!,See you later  !,
309,0.81,0,,complete,"Thank you for using our service.",Oh my god you saved my computer ,
311,0.81,0,,complete,"Thank you for using our service.",That solution works ,
319,0.34,1,,goodbye,Bye bye! Thanks for the chat!,What time is it? ,
322,0.52,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",How to troubleshoot this computer ,
338,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye ! ,
349,0.7,0,,goodbye,Bye bye! Thanks for the chat!,Have a nice weekend  ! ,
355,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye,
361,0.5,1,,complete,"Thank you for using our service.",Hooray it got fixed,
364,0.39,0,,help,"I can help you with computer troubleshooting related questions.",which questions ?,
365,0.58,0,,help,"I can help you with computer troubleshooting related questions. ",I don't know what to ask you anymore,
373,0.8,0,,greet,"Hi, I am good. What about you?",How are you? ,
374,1,1,,Feedback,I am happy to hear that,YES ,
378,0.9,0,,goodbye,Bye bye! Thanks for the chat!,*bye,
384,0.83,0,,goodbye,Bye bye! Thanks for the chat!,I have to go ,
385,1,0,,goodbye,Bye bye! Thanks for the chat!,Bye bye ! ,
386,1,0,,goodbye,Bye bye! Thanks for the chat!,Have a nice day,
388,0.52,1,,goodbye,Bye bye! Thanks for the chat!,I am thirsty ,
398,1,1,,Feedback,I am sorry to hear that,NO,
401,1,0,,Feedback,I am sorry to hear that,NO,
403,1,1,,Feedback,I am happy to hear that,YES,
406,0.96,0,,goodbye,Bye bye! Thanks for the chat!,"See you later, have to go ! ",
415,0.51,1,,complete,"Thank you for using our service.",It feels like its working again  ,
418,0.72,0,,goodbye,Bye bye! Thanks for the chat!,Have to go ,
419,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye,
421,0.56,0,,help,"I can help you with computer troubleshooting related questions. ",Do you know about open sourcing? ,
424,0.79,1,,help,"I can help you with computer troubleshooting related questions. ",What do you know about Flexability? ,
426,0.39,0,,greet,"I was getting bored, but now you are here.",How are u feelin ? ,
433,1,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",This computer is not showing up ,
435,0.46,1,,problem,"Please follow this solution:  https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",The screen of this laptop is flickering ,
440,0.37,1,,greet,"Hi, I am good. What about you?",How many floors in Rhodanie? ,
442,0.8,0,,greet,"Hi, I am good. What about you?",How are you ? ,
445,0.4,1,,complete,"Thank you for using our service.",It works ,
462,0.36,1,,choose_version,"Please wait.",I have Windows 8 ,
463,0.64,1,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",Where is the portal? ,
464,0.44,1,,choose_version,"Please wait",Windows 10,
465,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye! ,
475,0.81,0,,help,"I can help you with computer troubleshooting related questions.",What kind of questions? ,
479,1,0,,Feedback,I am sorry to hear that,NO ,
482,0.58,0,,help,"I can help you with computer troubleshooting related questions. ",What are you doing? ,
488,0.99,0,,goodbye,Bye bye! Thanks for the chat!,"I am leaving now, see you ",
489,0.8,0,,greet,"I was getting bored, but now you are here.",How are you? ,
499,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye,
504,1,1,,Feedback,I am sorry to hear that,NO,
506,1,0,,Feedback,I am sorry to hear that,NO,
508,0.31,1,,goodbye,Bye bye! Thanks for the chat!,What is Time Harmony? ,
509,1,1,,Feedback,I am sorry to hear that,NO ,
527,0.59,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",My computer's screen is flickering ,
551,1,0,,Feedback,I am happy to hear that,YES ,
557,1,0,,problem,"Please follow this solution: https://www.dell.com/support/kbdoc/en-us/000132142/windows-10-crashes-to-a-blue-screen",There is a problem with my computer,
560,1,0,,Feedback,I am happy to hear that,YES,
562,1,0,,goodbye,Bye bye! Thanks for the chat!,Goodbye,
563,0.49,1,,chose_version,"Please wait",I have microsoft ,
565,0.33,1,,complete,"Thank you for using our service.",Thank you for fixing it ,
566,0.78,0,,goodbye,Bye bye! Thanks for the chat!,I have a to go ,
567,0.9,0,,goodbye,Bye bye! Thanks for the chat!,Bye,
